stid,station_name,lat,lon,elev,begints,iem_network
ETGZ,MESSSTETTEN     ,48.18472,8.9925,920,2011-08-22 14:20:00-05,DE__ASOS
EDLN,MONCHENGLADBACH ,51.23028,6.50444,38,2011-01-02 01:20:00-06,DE__ASOS
EDDG,MUENSTER/OSNABRU,52.13528,7.7,52,2010-12-31 18:20:00-06,DE__ASOS
EDDM,MUNICH-FLUGHAFEN,48.35833,11.80917,447,2010-12-31 18:20:00-06,DE__ASOS
ETSN,NEUBURG/DONAU   ,48.711,11.2115,387,2011-08-22 14:20:00-05,DE__ASOS
EDLV,NIEDERRHEIN     ,51.60241,6.14217,32,2011-08-22 14:20:00-05,DE__ASOS
ETHN,NIEDERSTETTEN (G,49.39917,9.96528,473,2011-08-22 14:20:00-05,DE__ASOS
ETNN,NOERVENICH (GAF),50.83117,6.65817,135,2011-08-22 14:20:00-05,DE__ASOS
ETMN,NORDHOLZ (GER-NA,53.76472,8.6575,31,2011-08-22 17:20:00-05,DE__ASOS
EDDN,NUERNBERG       ,49.503,11.05498,312,2010-12-31 18:20:00-06,DE__ASOS
EDMO,OBERPFAFFENHOFEN,48.08136,11.28307,600,2011-08-22 23:20:00-05,DE__ASOS
EDLP,PADERBORN/LIPPST,51.61667,8.61667,213,2011-08-22 14:20:00-05,DE__ASOS
EDAR,PIRNA-PRATZSCHWI,50.97917,13.91667,400,2011-11-11 16:00:00-06,DE__ASOS
ETAR,RAMSTEIN (USAFB),49.43691,7.60028,238,2011-07-02 00:55:00-05,DE__ASOS
ETHE,RHEINE/BENTLAGE ,52.28917,7.38639,49,2011-08-22 14:20:00-05,DE__ASOS
ETGQ,ROTENBURG       ,53.13333,9.35,61,2011-08-26 09:12:00-05,DE__ASOS
ETHR,ROTH (GER-ARMY) ,49.2175,11.10017,395,2011-08-22 14:20:00-05,DE__ASOS
EDDR,SAARBRUECKEN    ,49.21417,7.10833,320,2010-12-31 18:20:00-06,DE__ASOS
ETNS,SCHLESWIG(GER-NA,54.45667,9.52056,25,2011-08-22 17:20:00-05,DE__ASOS
EDTY,Schwaebisch Hall,49.1183,9.784,397.607,2013-06-27 03:20:00-05,DE__ASOS
EDOP,SCHWERIN-PARCHIM,53.427,11.78344,51,2011-08-22 23:20:00-05,DE__ASOS
EDGS,SIEGERLAND      ,50.70766,8.08297,602,2010-12-31 18:32:00-06,DE__ASOS
ETAD,SPANGDAHLEM (USA,49.98015,6.69924,365,2011-07-02 00:55:00-05,DE__ASOS
EDDS,STUTTGART/ECHTER,48.68917,9.22528,419,2010-12-31 18:50:00-06,DE__ASOS
ETNU,TROLLENHAGEN    ,53.60222,13.30611,71,2011-08-22 14:20:00-05,DE__ASOS
ETML,Unknown,51.778,11.337,125,2014-11-12 08:20:00-06,DE__ASOS
EDXW,WESTERLAND/SYLT ,54.91325,8.34047,20,2011-08-22 14:20:00-05,DE__ASOS
ETOU,WIESBADEN (USA-A,50.04982,8.3254,141,2011-08-22 14:55:00-05,DE__ASOS
ETNT,WITTMUNDHAVEN(GA,53.54783,7.66733,12,2011-08-22 17:20:00-05,DE__ASOS
ETNW,WUNSTORF (GER-AF,52.45806,9.42833,70,2011-08-22 14:20:00-05,DE__ASOS
EDRZ,ZWEIBRUCKEN     ,49.20952,7.40065,344,2011-08-22 14:20:00-05,DE__ASOS
