DATE,CPMNACSCAB1GQDE
2012-10-01,693704.0
2013-01-01,695741.0
2013-04-01,704651.0
2013-07-01,712041.0
2013-10-01,718267.0
2014-01-01,728688.0
2014-04-01,731305.0
2014-07-01,736348.0
2014-10-01,746634.0
2015-01-01,751375.0
2015-04-01,759226.0
2015-07-01,763538.0
2015-10-01,771814.0
2016-01-01,782405.0
2016-04-01,786938.0
2016-07-01,788846.0
2016-10-01,795920.0
